"rawname","name","rawaffiliation","affiliation","stance"
"Jasper Rine","jasper rine","Professor of Genetics, Genomics and Development; Howard Hughes Medical Institute Professor, University of California, Berkeley; Member,National Academy of Sciences, National Academy of Inventors, and the American Academy of Arts and Sciences","university of california berkeley","California Letter 1"
"Frederick A. Ringwald","frederick a ringwald","Professor of Physics, California State University, Fresno","california state university fresno","California Letter 1"
"Lisa J. Roberts","lisa j roberts","Former Computer Scientist, Scientific Visualization, Lawrence Livermore National Laboratory","lawrence livermore national laboratory","California Letter 1"
"TJ Rodgers","tj rodgers","Chief Executive Officer, Rodgers Capital; Founder, Cypress Semiconductor","rodgers capital","California Letter 1"
"Uri Rodny","uri rodny","Retired Chief Scientist, Crayon Data Ltd","crayon data ltd","California Letter 1"
"Jose P. Rodriguez","jose p rodriguez","Professor of Physics and Astronomy, California State University, Los Angeles","california state university los angeles","California Letter 1"
"Mark Rodwell","mark rodwell","Professor of Electrical and Computer Engineering, University of California, Santa Barbara; Fellow of Institute of Electrical and Electronics Engineers; recipient of the 2010 David Sarnoff Award, Institute of Electrical and Electronics Engineers","university of california santa barbara","California Letter 1"
"Daniel Rogalski","daniel rogalski","Professor and Vice Chair of Undergraduate Studies in Mathematics, University of California, San Diego","university of california san diego","California Letter 1"
"Heidi Roizen","heidi roizen","Venture Capitalist, Threshold Ventures; co-founder and former Chief Executive Officer, T/Maker","threshold ventures","California Letter 1"
"Dennis Romano","dennis romano","Lecturer, Department of Aviation and Technology, San José State University; retired systems engineer, NASA","san jose state university","California Letter 1"
"Dan Romik","dan romik","Professor of Mathematics, University of California, Davis","university of california davis","California Letter 1"
"David M. Romps","david m romps","Professor of Earth and Planetary Science, University of California, Berkeley","university of california berkeley","California Letter 1"
"Hongbo Rong","hongbo rong","Senior Research Scientist, Intel","intel","California Letter 1"
"Allyson C. Rosen","allyson c rosen","Clinical Associate Professor of Psych/Public Mental Health & Population Sciences Staff, Psychiatry and Behavioral Sciences, Stanford University School of Medicine","stanford university","California Letter 1"
"Mark Rosenberg","mark rosenberg","Retired software developer",NA,"California Letter 1"
"Barbara Rosenblum","barbara rosenblum","Retired teacher, Los Angeles Unified School District","los angeles unified school district","California Letter 1"
"Donald Rosencrantz","donald rosencrantz","Ocean Engineer","ocean engineer","California Letter 1"
"Anthony Rossetti","anthony rossetti","Lecturer of Mechanical Engineering, San José State University","san jose state university","California Letter 1"
"Ilan Roth","ilan roth","Retired Professor of Physics, University of California, Berkeley","university of california berkeley","California Letter 1"
"Stephen I. Rothstein","stephen i rothstein","Distinguished Professor of Zoology, Emeritus, University of California, Santa Barbara","university of california santa barbara","California Letter 1"
"Michael C. Rotkowitz","michael c rotkowitz","Senior Research Scientist, Amazon","amazon","California Letter 1"
"George G. Roussas","george g roussas","Distinguished Professor of Statistics Emeritus, University of California, Davis; Corresponding Member of the Academy of Athens, International Statistical Institute; Fellow, American Association for the Advancement of Science, American Statistical Association, Institute of Mathematical Statistics, Royal Statistical Society","university of california davis","California Letter 1"
"Eric Joel Routman","eric joel routman","Professor of Biology Emeritus, San Francisco State University","san francisco state university","California Letter 1"
"Rahul Roy","rahul roy","Professor of Physics, University of California, Los Angeles","university of california los angeles","California Letter 1"
"Richard Rozak","richard rozak","Instructor Mathematics, Orange Coast College","orange coast college","California Letter 1"
"Lu Ruan","lu ruan","Associate Professor of Computer Science, Azusa Pacific University","azusa pacific university","California Letter 1"
"Xiaojun Ruan","xiaojun ruan","Associate Professor of Computer Science, California State University, East Bay","california state university east bay","California Letter 1"
"Robert Rutherford","robert rutherford","Adjunct faculty, Fresno State University","fresno state university","California Letter 1"
"Leny A. Ryzhik","lenya ryzhik","Professor of Mathematics, Stanford University","stanford university","California Letter 1"
"Robert J. Sacker","robert j sacker","Professor of Mathematics, University of Southern California","university of southern california","California Letter 1"
"Isabelle Sacramento-McJilton","isabelle sacramento mcjilton","Lecturer of Geology, San Diego State University","san diego state university","California Letter 1"
"Alexander Sadovsky","alexander sadovsky","Aerospace Engineer, NASA","nasa","California Letter 1"
"Fred Safier","fred safier","Retired Instructor, City College of San Francisco; former Math Department Chair","city college of san francisco","California Letter 1"
"Amit Sahai","amit sahai","Professor of Computer Science, University of California, Los Angeles","university of california los angeles","California Letter 1"
